,title,link,body,author,university
140,Social frailty interventions that can best support vulnerable older adults during the COVID-19 pandemic: A rapid review ( 2020/21 ),https://cognit.ca/en/research/project/232387,"By the year 2050, two billion people worldwide will be 60 years of age and older. Global life expectancies are also on the rise, leading to an increased number of seniors who will develop chronic conditions and frailty. Given these projections, frailty is fast becoming a public health concern. Frailty is multidimensional (it affects biological, psychological, and social processes of a person's life), and therefore can lead to reduced functional ability, falls, disability, decreased quality of life, and death. Of the three types of frailty (physical, psychological, and social), social frailty is the least well understood. It is defined as ""a continuum of being at risk of losing, or having lost, social and general resources, activities or abilities that are important for fulfilling one or more basic social needs during the life span"". During public health emergencies such as COVID-19, social vulnerabilities such as social frailty represent an even greater threat to the health of older adults. However, we know very little about the risk factors and interventions that may prevent or reverse social frailty. Therefore, our research goals are to better understand interventions addressing social frailty in older adults by conducting a systematic review and a realist review. The results of this work will help decision makers understand which social frailty interventions can best address the needs of vulnerable older adults impacted by isolation during COVID-19 or other disease outbreaks requiring similar public health measures.","Monika Kastner, Jayna M Holroyd-Leduc, Jemila Hamid, Ian D Graham, Leigh Hayden, Sarah E Munce, Leigh Hayden, Laure Perrier","North York General Hospital, University of Calgary, Children's Hospital of Eastern Ontario Research Institute, University of Ottawa, Sheridan College Institute of Technology and Advanced Learning, University Health Network, Sheridan College Institute of Technology and Advanced Learning, University of Toronto"
142,Spectroscopic measurements of atmospheric composition and evolution for an improved understanding of air quality and climate change ( 2014/15-2019/20 ),https://cognit.ca/en/research/project/23800,"Air quality and climate change are pressing health and environmental issues with growing economic consequences. Both provincial and federal governments have enacted legislation to 1) limit the concentration of human-emitted atmospheric trace gases that affect air quality and 2) reduce the emissions of greenhouse gases that contribute to climate change. The problems of air quality and climate change are connected by 1) common emission sources of trace gases in energy production, transportation, heating and cooking combustion, agriculture and industry, 2) the fact that many gases involved in photochemical smog production, such as volatile organic compounds and ozone, are powerful greenhouse gases themselves, 3) changing chemical reaction rates for smog production due to a changing climate, and 4) changing meteorological conditions affecting the dispersion, transport and washout of air pollution due to a changing climate. This complexity requires the ongoing and expanded acquisition of high-quality data sets of atmospheric composition in order to test and improve the understanding of atmospheric chemical and dynamical processes implemented in forecasting models of air quality, weather and climate.My newly established research program meets this need while addressing one of four strategic research areas of the Government of Canada (“Environmental Science and Technologies”) as well as three programs (""Weather and Environmental Services”, “Climate Change and Clean Air”, “Compliance Promotion and Enforcement – Pollution”) satisfying two strategic outcomes of Environment Canada (Informed decisions on changing weather and climate, Minimizing threats from pollution). It will significantly expand the Halifax and Atlantic Canada measurement capability of atmospheric trace gases relevant to air quality and climate change through the establishment of the Tropospheric Remote Sensing Laboratory at Saint Mary’s University. Using Fourier transform infrared spectroscopic techniques the following long-term research goals will be met:1. Characterizing and understanding atmospheric processes, composition, variation, and long-term change;2. Assessing the effectiveness of air quality policies and regulations in the context of long-range (trans-boundary) pollution transport and climate change;3. Assessing the effectiveness of greenhouse gas emission reduction targets in the context of a changing economy;4. Challenging air quality models and satellite observations with precise, accurate, temporally dense and spatially diverse observations of near-surface trace gas concentrations and emissions.In the short-term, continuous and high temporal resolution measurements of a broad suite of volatile organic compounds, ozone, nitrogen oxides, sulfur oxides, carbon monoxide and other trace gases relevant to air quality and the greenhouse effect will be made, characterizing stationary and mobile individual sources (ship plumes, stacks), line emission sources (roads) and diffuse sources (crop fields, fuel wood combustion). These data will be correlated with the Air Quality Health Index public advisory tool as well as information available on morbidity (disease) and mortality rates attributed to poor air quality episodes. The aim of the comparison is to improve the Index, which best serves our most vulnerable populations of children, seniors and the ill. Finally, data gathered will also be used to inform local and regional regulations, such as Air Quality Regulations and Greenhouse Gas Regulations in the Nova Scotia Environment Act. This will help ensure that Canadian governments are enacting reductions in atmospheric pollutants that lead to the greatest health benefits with the smallest economic impacts possible under the circumstances.",Aldona Wiacek,Saint Mary's University
143,Structural and Functional Connectivity in the Dynamic Aging Brain ( 2019/20 ),https://cognit.ca/en/research/project/204466,"Rationale: In Canada, the number of individuals over age sixty-five has exceeded the number of children (under age fourteen) for the first time in history. According to Statistics Canada, the number of seniors in Canada could reach 10.9 million by 2036. Given the shift in our relative age distribution, there is currently a crucial need to better understand the changes that occur as individuals age, especially given that the vast majority of cognitive neuroscience research has focused on young adults. Among the most well-known shifts associated with aging are changes in cognitive ability. These changes are considered normal and are to be expected. However, the research to date that has linked cognitive change to underlying brain structure and function, has not conceptualized the brain as a interconnected and dynamic system and it is essential for future research to incorporate advanced measures of structural and functional connectivity. ***Research Program: The overarching goal of my research program is to understand the underlying neural correlates of aging in the human brain using advanced multimodal imaging methods. My NSERC Discovery Grant program will use magnetic resonance imaging based measures of structural and functional connectivity to examine the Scaffolding Theory of Aging and Cognition. Specifically, this research will answer the following questions: How do microstructural characteristics of the brain's connections change with age? Do functional networks become more or less active as we age? How do these changes in structural and functional connectivity relate to cognition? Do certain variables such as sex, stress, or physical activity lead to positive or negative neuroplastic changes in the brain? How do structural and functional connectivity and their relationship with cognition change over time, as we follow one set of individuals through the aging process? ***Taken together, this comprehensive and extremely novel program of research will characterize how the human brain as a dynamic system changes with age. The work will interrogate and advance current theory on aging, and enhance current understanding of our aging population. ********",Jodie Gawryluk,University of Victoria
144,Structure and rheology of mixed hydrocolloid gels as model systems for food 3D printing ( 2019/20 ),https://cognit.ca/en/research/project/212617,"In the following, I propose a long-term research program seeking to develop process-structure-property relationships for food additive manufacturing. Food 3D printing finds applications in “digitalized gastronomy”, with the exploration of new shapes, flavors, textures and innovative recipes. However its most interesting focus might be in improving healthcare, where it can adapt food nutritional value, shape and texture to individual needs such as those of elderly people. It requires “premier food rheology expertise” as stated by NASA, who signaled its importance as a technology that could help feeding the crew over long duration missions. My group is a leader in understanding rheological properties of complex fluids, and our recent developments on 3D printing of polysaccharide-based hydrogels represent the perfect expertise to carry out the work proposed in this research program.***The main objective is to deepen our understanding of material behavior in food 3D printing, more specifically in hydrogel-forming extrusion, in order to expand its potential use as a complementary technology for food processing. The research proposed aims at using polysaccharide-protein hydrocolloids as model systems and contribute to the fundamental understanding of their macromolecular assembly. Expected results of this research program include (1) the development of a printability index and (2) the determination of optimal parameters to stabilize the printed structures. It will consider increased complexity of edible inks with combination of polysaccharides (complex carbohydrates), proteins and fibers (insoluble cellulose additives). Finally it will aim at (3) establishing relationships to guide 3D printing of food and develop multiple additive manufacturing methods.***The impact of this research program could be considerable for Canadians, in view of the aging population. For example, printing pureed food-type could help seniors with chewing and swallowing problems (dysphagia) and affected by vitamin deficiencies. Furthermore, printing customized meals for children, expectant mothers or athletes using food ingredients adapted to their individual condition, activity level and personal preferences could contribute to global health and well-being of the Canadian population. On a longer term, as biometric data about individuals become available through blood tests and advanced diagnosis tools, it will become possible to control the vitamins, nutrients, allergens, caloric content and portion size according to daily determined needs and through the automated production of food such as 3D printing. Finally, highly qualified personnel will be trained for the food industry of tomorrow by gaining expertise in 3D printing, rheology, physicochemical characterization, food processing and critical thinking, all qualifications sought by the industry. Results from this research may help Canada to develop this promising emerging technological food market.",MarieClaude Heuzey,Polytechnique Montréal
145,Supporting the creation of a LEARNing INteGrated health system to mobilize context-adapted knowledge with a Wiki platform to Improve the transitions of frail Seniors from from hospitals and emergency Departments to the cOMmunity: the LEARNING WISDOM Phase II scale-up project ( 2017/18-2020/21 ),https://cognit.ca/en/research/project/153228,"Elderly patients do not always receive the best care to help them return home after being discharged from the hospital. The connections between the hospital and community-care settings are often inadequate. As a result, elderly patients may be repeatedly readmitted to the hospital and their capacity to function may decrease. Caregivers may feel more burdened by the increasing care for their elderly loved ones. As well, healthcare costs increase. Mount Sinai Hospital in Toronto developed the Acute Care for Elders (ACE) program to improve healthcare for the elderly. By using innovative strategies such as transition coaches, follow-up calls and patient self-care guides, the ACE program reduced lengths of hospital stay and readmissions for elderly patients, increased patient satisfaction, and saved the healthcare system over $6 million in 2014. In 2016, the Centre integre en sante et en services sociaux de Chaudiere-Appalaches (CISSS CA) received funding from the Canadian Foundation for Healthcare Improvement and support from Mount Sinai experts to implement the ACE Program in one hospital in the CISSS CA with a focus on improving transitions between hospital and the community for the elderly. The goal of this research project is to implement the ACE Program in three other hospitals within the CISSS CA, using a ""Wiki-suite"" to help adapt and apply the ACE Program to each hospital. The Wiki-suite is an open-source collaborative database of knowledge tools and a training program which help clinicians share information and improve patient care. Our research project will evaluate how the ACE program implemented and improved care transitions for the elderly at these hospitals. We will also evaluate how the Wiki-suite helped adapt and apply the ACE program in participating hospitals.","Yves Couturier, France Légaré, Annie Leblanc, Patrick Archambault, Marc Rhainds, Don Melady, Serge Dumont, Clémence Dallaire, Richard P Fleet, Jean-Louis Denis, David L Buckeridge, Audrey-Anne Brousseau, Holly M Witteman, Samir K Sinha, Marie-Soleil Hardy, Marcel Emond, Marcel Emond","Université de Sherbrooke, Laval University, Laval University, Laval University, CHU de Québec-Université Laval, Sinai Health System, Laval University, Laval University, Laval University, University of Montreal, McGill University, Laval University, Laval University, University of Toronto, Laval University, CHU de Québec-Université Laval, Laval University"
146,Synapse-type-specific plasticity in neocortical microcircuits ( 2017/18-2019/20 ),https://cognit.ca/en/research/project/20813,"Neuroscientists believe that learning and memory as well as the refinement of neuronal circuits during development are due to changes in synaptic connections among interconnected neurons, known as synaptic plasticity. My team investigates plasticity in neocortex, with a focus on the more recently discovered Spike-Timing-Dependent Plasticity (STDP) paradigm, because of its excellent experimental control and biological plausibility. With classical STDP, pre before postsynaptic firing within a few milliseconds results in strengthening, whereas the opposite temporal order elicits weakening, which effectively enables the brain to learn causal relationships. But synaptic plasticity is known to vary with synapse type -- different mechanisms and phenomenology are found at inputs to different interneuronal classes. Why and how does synaptic plasticity vary? In this Discovery Grant proposal, we aim to confront this issue, using a battery of state-of-the-art methods such as paired recordings, 2-photon imaging, optogenetics, and computer modeling. Our unpublished data indicate that some interneuronal cell types possess reversed STDP at their excitatory inputs, while others do not. This synapse type specificity of STDP is not likely to be coincidental, but important for brain functioning. We will use this as a starting point, and trace out the STDP learning rules of key synapse types in developing visual cortex, while carefully classifying these interneurons based on their morphology, intrinsic firing patterns, and genetic markers. This research program will clarify the rules that govern information storage and rewiring during development of the neocortex. Our efforts will produce cutting-edge scientific results, while at the same time being safe. The proposal would enable three graduate students to learn advanced optical and electrophysiological techniques, and an undergraduate to learn imaging, morphological reconstructions, etc., thus providing an ideal setting for training of highly qualified personnel ranging from the junior to the relatively senior.",PerJesper Sjostrom,McGill University
147,System justification: Self-regulatory causes and unintended emotional consequences ( 2018/19-2019/20 ),https://cognit.ca/en/research/project/183547,"How do students react when their freedom to select courses is curtailed? How do citizens handle the election of a national leader they despise? In my past SSHRC-funded work, I explored the conditions under which people justify potentially negative aspects of their social systems, and actively reconfigure their preferences to perceive the current status quo in a more positive light. In other words, I have documented conditions under which the students will devalue their freedom, and the citizens will downplay the new leader's flaws---flaws that they previously so readily pointed out. In the current work, I challenge the common framing of system justification, aiming to answer two interrelated questions: a) why do people justify their systems, and b) what are the consequences of system justification for psychological well-being. Most scholars portray system justification as serving a palliative function: Providing emotional reassurances while also having no material benefit, and in fact causing harm to important societal outcomes. For example researchers have shown how system justification quells existential anxieties, but also causes people to accept even patently unjust status quos. My unique background allows me to connect these ideas with work on self-regulation and goal systems, whose literatures highlight how people must manage their pursuit of different goals, since these goals compete for finite resources like money, time and attention. My proposed work casts system justification as a tool for enabling success on personal, non-system-related goals, highlighting its functionality for individuals, and pointing to one of the reasons why it may be so difficult to stamp out. I first test the hypothesis that people justify their systems to economize material resources. Study 1 uses an online sample of adults, manipulating whether people are able to system justify and testing whether those who cannot then feel obligated to spend their money to rectify a negative aspect of the system. Study 2 uses a sample of college students, manipulating their subjective need to conserve their money, and testing whether this manipulation induces increased system justification. I next test the hypothesis that people justify their systems to protect their cognitive resources from rumination. Study 3 measures rationalization of a fictional UBC policy, and tests whether students who justify the policy show better performance on a subsequent cognitive task. Study 4 is a longitudinal survey of a representative sample of Americans surrounding the 2020 presidential election. It tests whether workers who anticipate a need for cognitive resources at work a) justify the newly elected president more, b) ruminate about the election less, and c) perform better at work the following week. Finally I test hypotheses relating to the consequences of system justification for well-being. Two longitudinal studies of college students, in daily life (Study 5) and during exams (Study 6) examine whether calibrating system justification to domains about which one cares is critical in reaping the emotional benefits it can offer, and whether poor calibration instead leads to decrements in well-being, in part due to problems with goal achievement. In addition to the theoretical advances indicated above, the proposed methodology incorporates opportunities for student training including volunteer research assistants, a senior undergraduate to manage them, and two graduate students dedicated to the project. The results from the proposed longitudinal studies and lab experiments, using diverse samples, will be disseminated broadly to provide guidance to the general public, and to policy-makers and activists who seek to promote a more active, less complacent citizenry.",Kristin Laurin,University of British Columbia
148,TEC4Home: Telehealth for Emergency-Community Continuity of Care Connectivity via Home-Telemonitoring ( 2015/16-2019/20 ),https://cognit.ca/en/research/project/147501,"Healthcare for seniors can be challenging, especially for those with chronic illnesses like heart failure. Without suitable home care to support them, their health can quickly get worse, resulting in Emergency Room (ER) visits or hospital admissions. By finding a way for doctors and nurses to watch over these seniors at home, we may be able to catch any problems early and help them to avoid getting sick and going to hospitals. This support may even help seniors feel better by being comfortable and safe in their own homes, knowing that doctors and nurses are watching over them. By reducing hospital visits, our health system may save money or offer the hospital beds to other patients. Modern technology allows doctors and nurses to use electronic devices to see how the patient is feeling and measure things like weight, blood pressure, and heart rates, while the patient is at home. In the TEC4Home project, UBC researchers will work with the BC Ministry of Health, TELUS Health, hospital doctors and nurses, and family doctors to use this technology to monitor seniors while they recover at home. This information would be available for patients and their doctors and nurses to view securely online. Hospital and family doctors and nurses will connect with the patients and monitor them electronically to ensure they stay well, especially after ER visits. During this four year project, we will: 1. Make patients feel better and safer about using this technology at home; 2. Help the emergency doctors and the person's family doctor feel good about using this system to watch over the patient; 3. Help the person get better at home without needing to return to the emergency department; 4. Help companies like TELUS Health and Sentrian make their technology better and easier to use; and 5. Save money for the healthcare system.","Craig R Mitton, Kendall Ho, Riyad Baha Abu-Laban, James M Christenson, Nathaniel M Hawkins, Helen J Novak Lauscher, John J Marsden, Panos Nasiopoulos, Hubert H Wong","University of British Columbia, University of British Columbia, Vancouver General Hospital, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia, University of British Columbia"
149,"The EMBOLDEN study: Enhancing physical and community MoBility in OLDEr adults with health inequities using commuNity co-design, implementation and evaluation of a complex intervention incorporating exercise, nutrition, social participation, and system navigation ( 2019/20 )",https://cognit.ca/en/research/project/215778,"Reduced physical activity and ability to carry out daily activities are common with aging and can lead to frailty3, increased use of hospital and long-term care services, and death4. Despite known benefits of physical activity and diet change interventions for older adults7,9-11, optimal design features of such interventions to support real-world implementation and address health inequities are poorly understood. The EMBOLDEN study aims to promote physical and community mobility (moving around in the community), among people 55 years of age and older living in Hamilton, ON. We will co-design a program to foster positive changes in health, quality of life, and social participation. The City of Hamilton has partnered with the Hamilton Council on Aging (HCoA) and Seniors Advisory Committee (SAC) to establish Hamilton as an Age-Friendly City. The EMBOLDEN study capitalizes on the momentum of these initiatives and brings together researchers, the HCoA, SAC, and other key stakeholders including older adult citizens. A key feature of the EMBOLDEN study is the collaborative approach to co-designing the program and its implementation and evaluation. In a number of Hamilton neighborhoods, there are striking connections between social health determinants and both the health status and access to health resources of residents. Our study will build on existing best practices and local supports to promote health and mobility through physical activity, nutrition support, social support, and strengthening connections with existing service supports. The co-design process will identify strategies to address needs not met by existing services and accessibility barriers older adults face, as well as select one neighbourhood in which to pilot test the EMBOLDEN intervention. This co-design will also result in a protocol for the pilot study. The EMBOLDEN program will be developed such that it can be implemented throughout the City of Hamilton and adapted to other Canadian communities.","Parminder S Raina, Rebecca L Ganann, Stuart M Phillips, Julia Abelson, Terence (Terry) T Flynn, Lehana Thabane, Sarah Neil-Sztramko, Ayse Kuspinar, Kathryn A Fisher, Gina (Ragini Agarwal, Elizabeth Alvarez, James Gillett, . Bruce K Newbold, Courtney C Kennedy, Maureen Frances Markle-Reid, Carol W Bassim","McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University, McMaster University"
151,The LGBTQ oral history digital collaboratory ( 2013/14-2018/19 ),https://cognit.ca/en/research/project/106364,"This is the largest LGBTQ oral history project in North American history (200 interviews) and connects these life stories with new methodologies in digital history, collaborative research, and archival practice. The team-based project is organized as an ""LGBTQ Oral History Digital Collaboratory."" By ""collaboratory,"" we mean a virtual working space---a cooperative laboratory-- through which team members will come together to share work, ideas, and new knowledge concerning the creation of LGBTQ oral histories in the digital age. The project explores the histories of trans* people, queer women, gay men, and lesbians in the U.S. and Canada through the creation of a virtual research meeting place, the completion of four distinct oral history projects, a digital LGBTQ ""oral history hub,"" and a digital trans archival collections pathfinder. Two of the oral history projects represent original research, while two are semi-orphaned, historical community endeavors that the Collaboratory will preserve, transcribe, and make accessible to a wider audience. The two new oral history projects are (1) the Trans Partner Oral History Project (50 interviews, PI as lead researcher), concerning the histories of partners of trans men in the U.S. and Canada, almost all of whom once identified as lesbian; and (2) the Trans History Oral History Project (30 interviews, PI+A. Devor), focused on the life histories of senior trans activists whose papers are being collected by the Transgender Archives at the University of Victoria. The two older oral history projects are: (1) the Lesbians Make History (LMH) oral history project concerning ""gay women"" in the 1950s and 1960s, collected in the 1980s and early 1990s; 15 interviews, 3 of which need further work; and (2) The Foolscap Oral History Project, a historical, ""orphaned"" project, concerning mostly gay men, 105 interviews completed in the 1980s concerning homophile activism, gay organizations, bar culture, and the drag scene. In addition to these oral history projects, we propose a digital LGBTQ ""oral history hub,"" and a digital trans archival collections pathfinder. Collectively, this research will provide unprecedented historical insight into the lives of lesbians, gay men, queer, and trans people from 1945 to the present in the U.S. and Canada. Our team members are both specialists in LGBTQ history, trans studies, and oral history, as well as key personnel in LGBTQ archives. They are: Prof. Karen Stanworth, representing the Canadian Lesbian and Gay Archives (CLGA); 2) Prof. Aaron Devor, representing the Transgender Archives (TGA) at the University of Victoria; 3) Prof. Elise Chenier, representing the Archive of Lesbian Oral Testimony (A LOT); 4) Prof. K. J. Rawson, representing the Digital Transgender Archive (DTA); and 5) Dr. Sara Davdidmann, a photographer and practice-based researcher who is a core member of University of the Arts London's Photography and the Archive Research Centre. Knowledge mobilization plans include: a scholarly book on trans partners (PI); 9 scholarly articles; 8 conference presentations; one photography exhibition at CONTACT; 5 public programs at CLGA and at Transgender Archives; a website, podcasts, and blog; the incorporation of the 6 distinct projects into web presence and databases at the Canadian Lesbian and Gay Archives; the Archive of Lesbian Oral Testimony; the Transgender Archives at UVic; and the Digital Transgender Archive. [""trans*=those who transgress (Western, binary) gender norms, many who face human rights issues as a result. The term trans* should be seen as a placeholder for many identities, most of which are specific to local cultures and times in history, describing people who broaden and expand a binary understanding of gender.]",Elspeth H Brown,University of Toronto
152,"The Potential Benefits of Omega Fatty Acid Supplementation on Skeletal Muscle Membrane Composition and Function, and Energy Metabolism in Young and Older Men and Women ( 2015/16-2019/20 )",https://cognit.ca/en/research/project/21171,"It is well known that OMEGA-3 fatty acid (O3FA) supplementation exerts a myriad of positive physiological effects in the human body, including lowered blood lipids and inflammatory indices, improved antithrombotic and cardiovascular indices, and improved cognitive function. The common denominator in all these effects is the ability of O3FAs to modify the properties of membranes and to stimulate gene expression in many tissues. Surprisingly, little work has examined the effects of O3FAs on skeletal muscle. This large organ (~28 kg in a 70 kg person) is important for moving the body throughout our daily activities by using the fuels fat and carbohydrate to generate the necessary energy for movement. Skeletal muscle is also an important storage site for the CHO and lipid that we consume during the day. The capacity of muscle to burn carbohydrate and lipid as fuel is low in sedentary individuals and also decreases as we age and lose muscle mass and become less physically active. The proportion of seniors in Canada is predicted to increase from 13% of the total population in 2005 to 25% in 2036, so this is an important concern. When low physical activity levels are coupled with consuming too much food at any age, and the loss of muscle mass that accompanies aging, there is increased risk for a variety of lifestyle and age-related diseases. The proposed work describes a research program that combines molecular, biochemical, and physiological approaches to comprehensively explain the hypothesized improvements of O3FA supplementation on human skeletal muscle metabolism and function in young and older men and women. The working hypothesis is that O3FA supplementation will increase the resting metabolic rate (RMR) in skeletal muscle and the whole body and will increase the ability of skeletal muscle to burn fat in resting and exercise situations. It may also maintain skeletal muscle mass and whole body lean mass. It is expected that these changes will be most pronounced in older men and women and partially counteract the loss of muscle mass and function, decreased RMR, and decreased ability to use fuel that accompanies aging. The proposed experiments are novel and will directly examine the effects of O3FA supplementation on human skeletal muscle, as the human is the species that we ultimately want to investigate. With a clearer understanding of the mechanisms whereby O3FA supplementation protects/improves skeletal muscle function and the metabolism of fat and carbohydrate in both young and older people, we will be in a better position to understand how it corrects/counteracts the effects of physical inactivity, excess food consumption, and aging. This basic information will help us reduce the incidence of the chronic diseases prevalent in our society.",Lawrence Spriet,University of Guelph
153,The Recruitment and Retention of International High-Skilled Professionals for Innovation and Growth ( 2018/19-2019/20 ),https://cognit.ca/en/research/project/187150,"CHALLENGE Canadian and Chinese stakeholders in talent mobility have much to learn from one another. Canada has been an active recruiter of high-skilled migrants for decades. Meanwhile, with Chinese return migrants as a main driving force, China has emerged as a leading innovator; and despite its own talent pools, even China now competes for global talent. While China demonstrates how talent flows can translate into innovation, Canada, with an unparalleled range of policies and programs, can inform the recruitment and retention of talent worldwide, including in China. However, little is known about how companies and technology clusters can recruit, retain, and utilize global talent effectively for stronger innovation and growth. While competition is usually the focus, the interconnectedness of technology clusters, e.g. between Canada and China, through business exchanges and talent flows, is often ignored; as is the question of how companies, clusters and governments could foster, and benefit from a stronger dialogue and collaboration in the management of talent mobility. GOALS AND OBJECTIVES On the basis of our partnered research and active involvement of industries and governments, our partnership will (1) assess how companies in leading technology clusters in Canada and China compete for talent, recruit and retain global talent and utilize existing policies and programs: What practices are successful; what are limiting or advantageous factors of certain pathways; what are impediments for effective recruitment, retention and utilization? On the basis of our assessment, we will (2) identify solutions, and develop actionable advice on how to design and enhance policies and practices for recruiting and retaining talent effectively for innovation and growth. We will (3) mobilize our knowledge and recommendations with target audiences, from the local to the global level. The outputs of our partnership, all in open-access, will consist of cluster profiles, policy and industry recommendations (reports and manuals), scholarly publications, different online-based products, as well as media op-eds, all of which will provide actionable research-based information, practical guidance and policy suggestions. ENGAGEMENT OF PARTNERS This partnership involves academic and private research institutions, important industry intermediaries, and individual experts with unique familiarity and knowledge on talent mobility and innovation -- as top policy advisor, former senior government official, CEO, innovator, leading scholar, in fact even as returnee/global talent -- from Canada, China and beyond. This project addresses a collective need to acquire and disseminate an in-depth understanding of global talent mobility, and how technology clusters and their stakeholders can effectively recruit, retain and utilize talent. The partner organizations will be actively involved throughout the project, closely collaborate and meaningfully participate both in the generation of new knowledge through partnered research in selected Canadian and Chinese technology clusters, as well as in the effective mobilization of findings and actionable recommendations to target audiences, including in industry, government, and also international organizations. Our diversity of partners brings an essential and unparalleled array of expertise in industry practice, policy-making and advocacy, management of migration and academic inquiry to increase the breadth and impact of project activities, i.e. delivering much-needed knowledge and understanding for providing in-depth and actionable insights and recommendations for enhanced policies and practices in Canada, China, and globally.",Martin Geiger,Carleton University
154,The University of Nairobi Collaborative HIV/AIDS Research Group Annual Meeting 2020 celebrating 40 Years of collaboration with the University of Manitoba ( 2019/20 ),https://cognit.ca/en/research/project/215172,"The University of Manitoba and University of Nairobi have been collaborating since 1980 on research and training in the area of HIV and AIDS, sexually transmitted infections (STIs), other infectious diseases and reproductive health, in concert with a number of other institutions in Canada, the USA and Europe. An annual meeting in January brings together the various researchers to discuss their current results and ongoing projects. Building on the success of the past this is a proposal to assist in supporting the annual meeting in January 2020, which will mark the 40th anniversary of the collaboration. We propose to support the attendance in Nairobi of a few of the original members of the Univ. Manitoba and Univ. Nairobi teams as well as senior officials of the Univ. Manitoba, as well as bringing together a number of international experts to discuss the many outcomes of the research, current research priorities, re-defining the infectious disease research priorities in Nairobi / Kenya / east Africa and future directions . As well, it will be an opportunity to reflect on the factors that have led this collaboration to be one of the longest-lasting and most successful of all North-South collaboration globally, with possible lessons to be learned for other European and North American research groups working with institutions in Africa, Asia and Latin America. The meeting fulfills the criteria of the proposed grant very well, in that it is ""a gathering of partners, health researchers and knowledge-users with the objective of facilitating regional, national and international collaborations"" where ""research findings are disseminated and discussed"". The five-day meeting in January 2020 will be convened and organised by Dr. Gelmon, Univ. Manitoba faculty based in Kenya, and who has been organising this annual meeting for more than twenty years.","Lawrence J Gelmon, Stephen Moses, Stephen Moses","University of Manitoba, University of Manitoba, University of Manitoba"
155,The Western Interdisciplinary Drone Laboratory ( 2019/20 ),https://cognit.ca/en/research/project/211497,"The goal of this NSERC RTI grant is to establish a new research laboratory at Western called the Western Interdisciplinary Drone Laboratory (WIDL). The requested equipment will support the research programs of one senior (Osinski) and three junior (Goda, Molnar, Neish) faculty in the Department of Earth Sciences as well as several others from across campus. As demonstrated by the fact that we have 2 male (Osinski, Goda) and 2 female (Molnar, Neish) applicants, diversity in team composition is, and will continue to be, an intentional consideration in building the expertise of the research team. ******This equipment will enable cutting-edge new research to be conducted, across a broad range of topics, with a focus on the following 4 areas: 1) comparative planetology, periglacial geomorphology, post-disaster earthquake surveys, Precambrian geology, and seismic microzonation. In addition, this equipment will also support research by other faculty members at Western in the areas of archaeology, crop disease detection, hydrology, and mineral exploration. These disparate fields have a common theme which is field science in often remote, inaccessible and/or dangerous environments. Cross-cutting products required by the applicants include digital elevation models (DEMs), high-resolution imagery, and compositional information on surface deposits and rocks.******Once reliant on a “boots on the ground approach”, an increasingly common method is to collect data remotely this epitomizes the rapidly expanding field of remote sensing. Historically, remote sensing has entailed the use of satellite imagery or airborne surveys collected from helicopters and airplanes, which is expensive and difficult to acquire in real-time. Due to recent technological advancements, there has been an explosion of the development and use of small-scale unmanned aerial vehicles (UAVs) or drones. The use of drones will revolutionize data collection for the applicants' field research programs. They will allow for the collection of low-cost data in real-time; quick access to sites where access is hazardous to people and/or wheeled vehicles (e.g., large-scale landslides, cliffs/gorges, blocky lava flows, etc.); and they can be easily transported and used anywhere in the world. In summary, these lightweight portable platforms provide a bird's eye view of a field site in an on-demand, low-cost, remotely deployable platform. The equipment requested here includes fixed-wing drones to enable rapid coverage of large areas, and quadcopters, which have higher lift capacity to carry additional payloads and have increased manoeuvrability for mapping areas at low altitudes. Requested sensors include visible and multispectral cameras, and LiDAR. In addition to representing a paradigm shift in research at Western, the acquisition of this equipment will significantly enhance the quality and extent of training by providing unique new opportunities for students to receive hands-on training in remote sensing.","Gordon Osinski, Sheri Molnar, Katsuichiro Goda, Catherine Neish","Western University, Western University, Western University, Western University"
